Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2009-02-24,25211.0,5252.0,4727.0,243.0,14266.0,15324.0,19761.0,20294.0,5450.0,4917.0
2009-02-17,22898.0,4282.0,4813.0,95.0,13573.0,14144.0,17949.0,19051.0,4948.0,3847.0
2009-02-10,21391.0,3577.0,4170.0,87.0,13540.0,13612.0,17204.0,17869.0,4187.0,3523.0
2009-02-03,19014.0,4553.0,4275.0,2.0,10411.0,11333.0,14966.0,15611.0,4048.0,3403.0
2009-01-27,17271.0,4462.0,4142.0,4.0,9704.0,9940.0,14170.0,14086.0,3101.0,3185.0
2009-01-20,16982.0,3552.0,4084.0,5.0,9659.0,9653.0,13216.0,13741.0,3766.0,3240.0
2009-01-13,12583.0,3533.0,3692.0,0.0,5765.0,5379.0,9298.0,9071.0,3285.0,3511.0
2009-01-06,10432.0,2952.0,3713.0,12.0,5694.0,2258.0,8657.0,5983.0,1775.0,4449.0
2008-12-30,9954.0,3080.0,4279.0,27.0,3661.0,2455.0,6767.0,6761.0,3187.0,3194.0
2008-12-22,9537.0,3166.0,4363.0,0.0,3661.0,1957.0,6827.0,6320.0,2710.0,3217.0
2008-12-16,37653.0,14180.0,7133.0,2879.0,15767.0,16600.0,32826.0,26611.0,4827.0,11042.0
2008-12-09,33133.0,13716.0,6986.0,378.0,15656.0,16109.0,29750.0,23473.0,3383.0,9660.0
2008-12-02,33789.0,14147.0,6628.0,327.0,15151.0,16492.0,29625.0,23447.0,4164.0,10342.0
2008-11-25,30783.0,13756.0,6444.0,240.0,12522.0,13814.0,26518.0,20498.0,4264.0,10284.0
2008-11-18,27799.0,13061.0,6239.0,310.0,10751.0,11797.0,24122.0,18346.0,3677.0,9453.0
2008-11-11,27849.0,13000.0,6375.0,335.0,10747.0,11787.0,24082.0,18497.0,3767.0,9352.0
2008-11-04,28303.0,13175.0,5424.0,452.0,10832.0,12491.0,24459.0,18367.0,3844.0,9936.0
2008-10-28,30107.0,12134.0,5739.0,441.0,13062.0,12787.0,25638.0,18967.0,4469.0,11139.0
2008-10-21,27817.0,11274.0,3387.0,353.0,12618.0,14375.0,24245.0,18115.0,3572.0,9702.0
2008-10-14,29582.0,10471.0,3725.0,1100.0,13286.0,14490.0,24858.0,19315.0,4724.0,10267.0
2008-10-07,27968.0,10050.0,4264.0,573.0,11628.0,13570.0,22251.0,18407.0,5717.0,9561.0
2008-09-30,26258.0,9883.0,3006.0,155.0,11143.0,13165.0,21181.0,16326.0,5077.0,9932.0
2008-09-23,24484.0,9182.0,3550.0,82.0,11196.0,11660.0,20461.0,15292.0,4023.0,9192.0
2008-09-16,62342.0,17392.0,14760.0,3931.0,28014.0,23374.0,49337.0,42065.0,13005.0,20276.0
2008-09-09,41228.0,17030.0,14362.0,2421.0,20595.0,15007.0,40046.0,31789.0,1182.0,9439.0
2008-09-02,36909.0,16763.0,14066.0,1813.0,16407.0,14002.0,34983.0,29881.0,1926.0,7028.0
2008-08-26,37295.0,16530.0,14716.0,1771.0,14162.0,11422.0,32463.0,27909.0,4832.0,9386.0
2008-08-19,36045.0,15358.0,15153.0,1285.0,14897.0,10824.0,31540.0,27262.0,4505.0,8783.0
2008-08-12,35833.0,15590.0,14053.0,1609.0,14551.0,11396.0,31751.0,27058.0,4082.0,8775.0
2008-08-05,33251.0,15678.0,14146.0,1254.0,12019.0,8425.0,28950.0,23825.0,4301.0,9427.0
2008-07-29,32739.0,14957.0,14350.0,1216.0,12032.0,8509.0,28205.0,24076.0,4534.0,8663.0
2008-07-22,32414.0,14387.0,14467.0,1184.0,11925.0,8170.0,27497.0,23821.0,4918.0,8594.0
2008-07-15,33437.0,12617.0,15038.0,1343.0,12798.0,8854.0,26758.0,25235.0,6680.0,8202.0
2008-07-08,30498.0,12201.0,13831.0,1213.0,11987.0,8432.0,25401.0,23476.0,5096.0,7021.0
2008-07-01,28461.0,11292.0,12978.0,1218.0,11463.0,7670.0,23973.0,21866.0,4488.0,6595.0
2008-06-24,25756.0,9655.0,11394.0,1040.0,11351.0,8125.0,22046.0,20559.0,3711.0,5197.0
2008-06-17,51717.0,17464.0,14646.0,4960.0,17980.0,20361.0,40404.0,39967.0,11313.0,11750.0
2008-06-10,34400.0,16263.0,13560.0,778.0,11305.0,13961.0,28346.0,28299.0,6054.0,6101.0
2008-06-03,32685.0,16305.0,12966.0,679.0,10826.0,12958.0,27810.0,26602.0,4875.0,6083.0
